start_date,end_date,duration,consent,condition,condition_for,condition_rol,timeEvent_forVic,moral,dim,color,visualDetail,sound,smell,touch,taste,vivid,detail,comprehensible,complex,realistic,location,setting,objects,people,time,year,season,day,hour,long,tone,implicationsThen,implicationsNow,felt,valenceThen,intensityThen,valenceNow,intensityNow,thoughts,reveal,before,after,accuracy,oftenThought,oftenTalked,timeEvent_unPer,check_time_unPer,attncheck_unPer,age,gender,education,language,race,attn_check_cond
3/18/20 18:41,3/18/20 18:44,204,Accept HIT,ForgVic,Forgiveness,Victim,15-Jan,7,5,2,6,1,6,7,1,6,7,6,2,7,6,7,1,7,6,6,4,6,7,6,6,1,2,6,6,4,6,1,7,6,2,6,2,3,4,NA,NA,NA,32,Male,High School / GED,English,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:44,311,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,6,6,6,5,6,3,3,2,5,6,5,5,5,6,5,6,5,7,6,6,6,5,3,2,3,5,6,1,7,1,3,6,3,5,7,6,4,2,"March, 2016",Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",37,Male,Masters Degree,English,Asian/Asian American,TRUE
3/18/20 18:40,3/18/20 18:44,257,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,7,2,2,5,1,1,1,1,7,3,2,1,6,2,5,1,1,1,2,3,2,1,2,1,3,7,7,2,7,1,5,3,5,1,1,3,7,2,12-Aug,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",27,Female,2-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:38,3/18/20 18:44,360,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,6,4,5,5,3,1,1,1,3,3,5,5,4,4,7,5,4,1,3,4,6,2,2,1,1,6,4,1,6,1,6,3,5,1,4,3,1,1,NA,NA,NA,39,m,Masters Degree,english,"Caucasian/White,Asian/Asian American",TRUE
3/18/20 18:36,3/18/20 18:44,499,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,6,7,6,7,2,2,2,1,7,7,7,7,7,7,7,7,6,7,7,7,6,7,6,2,6,6,7,2,7,2,7,6,6,6,7,7,2,2,15-Mar,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",38,male,4-year College Degree,English,African American/Black,TRUE
3/18/20 18:37,3/18/20 18:44,419,Accept HIT,ForgVic,Forgiveness,Victim,"August, 2013",2,3,6,4,5,1,1,2,4,4,4,3,5,5,4,3,3,4,4,4,4,3,3,3,2,3,4,3,5,3,4,4,4,4,1,5,4,4,NA,NA,NA,29,Female,4-year College Degree,English,Asian/Asian American,TRUE
3/18/20 18:38,3/18/20 18:45,402,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,6,6,7,7,7,1,1,1,5,4,4,3,7,7,6,5,7,7,3,1,1,6,5,1,7,5,7,2,6,1,3,6,5,3,6,6,5,1,14-Oct,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",31,Male,Some College,English,Asian/Asian American,TRUE
3/18/20 18:38,3/18/20 18:45,426,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,6,5,7,7,1,3,3,1,6,5,7,4,6,7,7,6,6,5,7,5,5,5,2,2,2,5,6,1,7,2,5,4,4,5,4,6,3,2,15-Jul,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",28,female,Some College,English,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:45,485,Accept HIT,ForgVic,Forgiveness,Victim,17-Aug,7,7,7,7,2,1,1,1,7,7,7,2,6,7,7,7,7,7,4,7,7,6,4,1,1,6,7,1,7,1,5,7,4,1,7,7,6,2,NA,NA,NA,49,female,Some College,English,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:45,376,Accept HIT,ForgVic,Forgiveness,Victim,1-Apr,6,6,7,6,7,5,5,1,7,6,6,3,6,4,7,7,6,6,6,6,7,6,7,1,6,4,6,1,6,2,5,6,6,6,6,6,3,3,NA,NA,NA,35,Female,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:36,3/18/20 18:45,536,Accept HIT,ForgVic,Forgiveness,Victim,"June, July, August, October, November, December 2019, Jan-March 2020",5,6,7,7,7,3,3,2,6,6,5,5,7,7,7,6,6,6,6,6,7,5,7,2,5,4,6,2,7,2,6,5,6,3,5,6,7,2,NA,NA,NA,35,Female,4-year College Degree,English,"Caucasian/White,Latino/Hispanic",TRUE
3/18/20 18:41,3/18/20 18:45,256,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,5,6,5,6,1,3,2,5,5,6,4,7,5,5,5,5,5,5,5,5,5,2,3,2,2,5,3,4,2,5,5,2,5,4,3,3,2,NA,NA,NA,31,female,4-year College Degree,english,Caucasian/White,TRUE
